统计: {"total": 860, "too_long": 435, "too_short_dur": 4, "too_long_dur": 0, "multi_line": 0}

[minor] P05_life_fork_deep: 单行19字 > 18: '传奇还在感慨感慨18年的时候为什么不做'
[minor] P05_life_fork_deep: 单行20字 > 18: '18年如果做在那个时间点分岔如果如果没有'
[minor] P05_life_fork_deep: 单行20字 > 18: '不是你自己吗我告诉传奇18年如果你做这个'
[major] P06_uncertainty_deep: 显示时长1.0s < 1.0s: 'm 24 0 l 1091 0 b 11'
[major] P06_uncertainty_deep: 显示时长1.0s < 1.0s: '我执的概念其实我觉得还是还是去'
[minor] H04_fate_crossroad: 单行19字 > 18: '传奇还在感慨感慨18年的时候为什么不做'
[minor] H04_fate_crossroad: 单行20字 > 18: '18年如果做在那个时间点分岔如果如果没有'
[major] H06_invisible_forks: 显示时长1.0s < 1.0s: 'm 24 0 l 1091 0 b 11'
[major] H06_invisible_forks: 显示时长1.0s < 1.0s: '我执的概念其实我觉得还是还是去'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '其实在我们生命当中也出现了蛮多的分岔'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '而且我特别关注的就是一句话就是'
[veto] P02_time_bifurcation_deep: 未勘误 '分岔' 应为 '分擦': '时间在这里分岔所有的可能性同时发生'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '时间在这里分岔所有的可能性同时发生'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '同时发生它其实这句话的魅力到底在哪'
[veto] P02_time_bifurcation_deep: 未勘误 '分岔' 应为 '分擦': '就是时间在这里分岔这个很好理解但是'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '就是时间在这里分岔这个很好理解但是'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '所有的可能性同时发生那就给我'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '无限的想像空间尤其是我在做这样的一个'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '戏剧作品因为我本身也是一个情绪'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '那我会想结局和毕业结局和各种可能性'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '那然后同时发生到底我们是一个什么样的'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '生命状态允许它同时发生一般情况下'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '我会觉得生活A和B然后排斥所以'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '是彼此不相互包容的'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '但事实上是不是有一种可能真的是所有的'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '可能性同时发生不过你不知道而已'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '只不过你一直专注于这个生命里的'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '其中的一条路但如果说我在这个生命里'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '然后走这样一条路的时候我同时还在想'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '另外一条路的话'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '会是什么样的时候那其实就是可能'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '现在同时发生的一种概念它让我想到了'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '一个一个感觉就是是不是我没有意识到'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '我的每时每刻都在同时发生着'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '所有的可能性这公平每时每刻'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '整个世界太疯狂了可能我们的宇宙'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '我都没办法就容纳但是不是'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '真的有这种可能性但是对每个人来说'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '为什么我们有时候经常俗话说我们生命中'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '会遇到一些坎的吧'
[veto] P02_time_bifurcation_deep: 未勘误 '分岔' 应为 '分擦': '其实这个坎就有点像是一个分岔的'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '其实这个坎就有点像是一个分岔的'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '一个节点就像那个树杈在这个坎上'
[veto] P02_time_bifurcation_deep: 未勘误 '' 应为 'MP4': '分成了两个数分成了两个枝条那'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '是我们可以这样我们再来碰一个杯然后'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '我们从那个编剧开始表情因为我们十年前'
[veto] P03_possibility_means: 未勘误 '分岔' 应为 '分擦': '都是从编剧开始但是我们产生了一个分岔'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '都是从编剧开始但是我们产生了一个分岔'
[veto] P03_possibility_means: 未勘误 '分岔' 应为 '分擦': '我们产生了一个分岔'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '我们产生了一个分岔'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '我觉得它是先介绍我们这个结婚'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '甚至是我们然后我是先自我介绍'
[veto] P03_possibility_means: 未勘误 '余传奇' 应为 '于传齐': '就先简单的自我介绍大家好我是余传奇'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '就先简单的自我介绍大家好我是余传奇'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '是一名青年编剧导演就可以了如果大家'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '这么介绍我会比较清晰的话'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '大家就可以这么去对刚才聊这个因为导演'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '是一个社会职业的身份我对应了我'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '那我就是一个产品经理产品经理'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '我觉得你更像是一个文人文人'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '那我不是一个文人'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '因为我没有得到文人的这个认证'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '我不是那个五大文学院'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '社会上也没有文人的这个认证'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '我们来准备一开始OK'
[veto] P03_possibility_means: 未勘误 '余传奇' 应为 '于传齐': '大家好我是余传奇是一名青年编剧和导演'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '大家好我是余传奇是一名青年编剧和导演'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '作对我方编的是我多年的一个好朋友'
[veto] P03_possibility_means: 未勘误 '宋锐' 应为 '宋蕊': '大家宋锐其实我是一个产品经理但是我也'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '大家宋锐其实我是一个产品经理但是我也'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '不是特别只愿意一个标签在我身上所以'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '大家姑且把我当作一个打工人就好了'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '其实我们刚才讨论了应该怎么介绍自己'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '他说自己是一个产品经理'
[veto] P03_possibility_means: 未勘误 '宋锐' 应为 '宋蕊': '但其实宋锐在我心里一直像一个文人一样'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '但其实宋锐在我心里一直像一个文人一样'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '像一个这个文人的这个气质所在'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '所以这也是为什么我们今天'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '会展开这次漫谈然后想要去做一个'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '谈话类的这样的一个节目但不是说我们想'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '谈出来什么样的东西而且是'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '只是把我们这期段的思考想法能够聊一聊'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '是所以我们这个节目其实它有个名称'
[veto] P03_possibility_means: 未勘误 '小径分岔' 应为 '小镜分擦': '叫做小径分岔的花园这个说得再清楚一点'
[veto] P03_possibility_means: 未勘误 '分岔的花园' 应为 '分擦的花园': '叫做小径分岔的花园这个说得再清楚一点'
[veto] P03_possibility_means: 未勘误 '分岔' 应为 '分擦': '叫做小径分岔的花园这个说得再清楚一点'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '叫做小径分岔的花园这个说得再清楚一点'
[veto] P03_possibility_means: 未勘误 '小径分岔' 应为 '小镜分擦': '叫什么小径分岔的花园小径分岔的花园对'
[veto] P03_possibility_means: 未勘误 '分岔的花园' 应为 '分擦的花园': '叫什么小径分岔的花园小径分岔的花园对'
[veto] P03_possibility_means: 未勘误 '分岔' 应为 '分擦': '叫什么小径分岔的花园小径分岔的花园对'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '叫什么小径分岔的花园小径分岔的花园对'
[veto] P03_possibility_means: 未勘误 '小径分岔' 应为 '小镜分擦': '小径分岔的花园这个概念'
[veto] P03_possibility_means: 未勘误 '分岔的花园' 应为 '分擦的花园': '小径分岔的花园这个概念'
[veto] P03_possibility_means: 未勘误 '分岔' 应为 '分擦': '小径分岔的花园这个概念'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '小径分岔的花园这个概念'
[veto] P03_possibility_means: 未勘误 '博尔赫斯' 应为 '博尔赫丝': '其实是博尔赫斯提出来的'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '其实是博尔赫斯提出来的'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '它其实是探讨了一种平行时空或者说'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '所有的可能性同时发生了这么一个故事'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '它接受了一个我们可能平时不太能'
[veto] P03_possibility_means: 未勘误 '' 应为 'MP4': '意识到的一个现状就是说其实你不是'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '它可能也会能产生出一些比较'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '但是这种比较是非常偶然因为'
[veto] P04_artist_as_fork: 未勘误 '分岔' 应为 '分擦': '因为你不能要求两个艺术家在同一个分岔'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '因为你不能要求两个艺术家在同一个分岔'
[veto] P04_artist_as_fork: 未勘误 '分岔' 应为 '分擦': '能遇到同一个分岔点如果恰好他们遇到了'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '能遇到同一个分岔点如果恰好他们遇到了'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '非常相似的一个情景'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '他们选择了不同的路径'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '这个时候产生的比较会比较有意思'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '但是你很难遇到因为不同的艺术家'
[veto] P04_artist_as_fork: 未勘误 '分岔' 应为 '分擦': '它自己的分岔点是独特的它好像似乎是'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '它自己的分岔点是独特的它好像似乎是'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '没有一个公式或者没有一个数学'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '能够描述说这个艺术家'
[veto] P04_artist_as_fork: 未勘误 '分岔' 应为 '分擦': '它一定就会遇到这个分岔点'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '它一定就会遇到这个分岔点'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '它就会做这个选择'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '或者那个选择'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '甚至你都没有办法'
[veto] P04_artist_as_fork: 未勘误 '分岔' 应为 '分擦': '计算它可能会遇到什么分岔'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '计算它可能会遇到什么分岔'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '你也没有办法计算它有多少种选择'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '这个是不是也是一种创作的一个魅力所在'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '是创作的一个魅力'
[veto] P04_artist_as_fork: 未勘误 '贡布里希' 应为 '公里希': '还是回到贡布里希'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '还是回到贡布里希'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '所说的那句话'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '就是这个世界上'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '没有所谓的艺术有的只是一个个艺术家'
[veto] P04_artist_as_fork: 未勘误 '分岔' 应为 '分擦': '如果我们用分岔的原理去解释的话就是'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '如果我们用分岔的原理去解释的话就是'
[veto] P04_artist_as_fork: 未勘误 '分岔' 应为 '分擦': '那一个个艺术家就是一个分岔包括之前'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '那一个个艺术家就是一个分岔包括之前'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '有一个画家齐白石它对它的徒弟说'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '学我者生似我者死学我者生'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '似我者死学我者生'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '其实学的是什么呢学的是什么'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '例如我去上戏我去跟我导师学什么'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '你说你导师会给你非常系统的教学里的'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '其实不是这些东西在你'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '考研究生之前你已经系统的梳理过'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '然后我跟他学到的更多的是他在'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '排戏的过程当中'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '我在旁边看或者说我担任他的副导演'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '我去解决具体的事情对在这个解决'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '具体的事情当中耳濡目染的去从'
[veto] P04_artist_as_fork: 未勘误 '对于' 应为 '對於': '导师身上去感受到他的创作理念他对于'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '导师身上去感受到他的创作理念他对于'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '艺术的要求然后他的设想他的设想'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '这个东西其实就是你学习的这个过程'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '那你说那到底学啥了呢其实你也不知道'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '但是慢慢的你会在某一个戏里面你会发现'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '这里面好像有导师的样子就不只是我'
[veto] P04_artist_as_fork: 未勘误 '至于' 应为 '至於': '跟我的导师了就甚至于我在教课在课'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '跟我的导师了就甚至于我在教课在课'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '然后我教的那些学员们'
[veto] P04_artist_as_fork: 未勘误 '' 应为 'MP4': '他们自己去拍一个纪录片拍一个小戏'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '很多的节目已经也形成了一些套路'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '包括我们看现在的自媒体当时那个'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '传奇还在感慨感慨18年的时候为什么不做'
[veto] P05_life_fork_deep: 未勘误 '分岔' 应为 '分擦': '18年如果做在那个时间点分岔如果如果没有'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '18年如果做在那个时间点分岔如果如果没有'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '我们没有去埋头去苦干的话我们去'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '去做一些类似的自媒体那又会怎么样呢'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '是啊可能我们现在大佬了对但是我们又'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '话说回来就是说他的这种可能性跟你说了'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '那种偏好他之间其实产生一种化学反应'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '因为你不可能说我今天是这个偏好'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '就是那个偏好好像一般是做不到的人生'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '有限而且我们从底层设定的基因就不允许'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '我能做到的而且我们回到母题'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '就是针对这个不确定性我们到底在想什么'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '或者我们到底在害怕什么其实人总是说'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '我要追求一个确定性的现在很多时候都说'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '你给我个方案你给我一个你给我'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '给我评估一下对吧包括你说你跟我说'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '我上这个大学好还是上那个大学好'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '那这个东西我回想起来我当时'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '去报志愿的时候倒是没有特别想说我以后'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '怎么找工作然后这是一种很奇怪的就是说'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '草草的看一下或者说心中大概'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '有一个模糊的一个感觉说可能这个是是我'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '其实它不是一种非常理性的一个'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '计算出来的一个结果但它这种偏好'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '也是你常年累月不自觉的形成的一个一个'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '相当于相当于说你做的决定就一定是你'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '真正想看到的那个决定这个其实是一个'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '很有意思的话题我们也不展开这个话题'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '但是有时候我就在想就是说比如说'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '如果有一个非常强大的眼它在你的时间'
[veto] P05_life_fork_deep: 未勘误 '分岔' 应为 '分擦': '分岔的那个节点就像那个奇异博士'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '分岔的那个节点就像那个奇异博士'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '一样他计算出来百千万亿次就像那个'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '佛家讲的说百千万亿个世界对吧有这么多'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '大千世界里面每一个世界都有个你'
[veto] P05_life_fork_deep: 未勘误 '' 应为 'MP4': '如果你看到了百千万亿世界以后'
